file_name,std_err,mse_resid,r_squared
1.txt,0.012307383496972552,0.005716295072247379,0.9778365624848796
2.txt,0.012439454175358106,0.0026782559289036164,0.7429240227065428
3.txt,0.017340396553030983,0.007368885539431686,0.9684317533174036
4.txt,0.03397848738388311,0.01758332722919695,0.9543182188691105
5.txt,0.0011608994436134638,0.00015244674785996575,0.06891941890232944
6.txt,0.007174824069710208,0.005932398046260833,0.969943517945002
7.txt,0.029300200926135056,0.042789110410828966,0.8979972204612344
8.txt,0.0008164371935572382,6.870255570460909e-05,0.03669822430817826
9.txt,0.010191329124459893,0.008505470509133577,0.909832780137165
10.txt,0.0011555738237990741,0.00014666493650911664,0.06681031317092267
11.txt,0.027177558133869222,0.01169602076458173,0.9268133940977632
12.txt,0.029224576835873435,0.016072019829577424,0.9617649584277019
13.txt,0.009876633045351125,0.006389911287013539,0.967788253229163
